Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
07/29/2019 02:00:00 PM,07/29/2019 02:15:00 AM,Bronx,St. James Recreation Center,Outside of fitness center,Virginia Opossum,Employee,Native,Injured,3,Juvenile,Small Mammals-non RVS,311-00253181,ACC,1,false,false,,,false,false,70825
07/29/2019 01:30:00 PM,07/29/2019 02:00:00 PM,Brooklyn,Kaiser Park,Beach area,Red-Eared Slider,"Conservancies/""Friends of"" Groups",Invasive,Unhealthy,1.5,Adult,Terrestrial Reptile or Amphibian,3-11-0025468,ACC,1,false,false,,,false,false,
07/29/2019 10:30:00 AM,07/29/2019 10:30:00 AM,Manhattan,Central Park,W 72nd and Central Park Drive,Red-Eared Slider,Public,Invasive,Healthy,0.5,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/28/2019 02:00:00 PM,07/28/2019 03:00:00 PM,Bronx,Orchard Beach,BX12 bus stop,Raccoon,Employee,Native,Injured,2,Juvenile,Small Mammals-RVS,311-00246076,ACC,1,false,false,,,false,false,70716
07/28/2019 11:30:00 AM,07/28/2019 01:30:00 PM,Staten Island,Midland Beach,Along the beach near pier,Double-crested Cormorant,Employee,Native,DOA,3,Adult,Birds,311-0024-5797,Submitted for DEC Testing,2,false,false,,,false,false,
07/27/2019 12:30:00 PM,07/27/2019 12:40:00 PM,Manhattan,Randall's Island Park,N/a,Raccoon,Central,Native,N/A,0.25,Adult,Small Mammals-RVS,,Advised/Educated others,1,false,false,,,true,false,
07/27/2019 02:10:00 PM,07/27/2019 02:25:00 PM,Staten Island,Midland Beach,"GPS 40.570145, -74.086938",Herring Gull,Employee,Native,Unhealthy,1.25,Adult,Birds,311-00238614,ACC,1,false,false,,,false,false,70579
07/26/2019 02:00:00 PM,07/26/2019 02:15:00 PM,Brooklyn,Dyker Beach Park,By picnic tables near Cropsey Ave and Bay 8th Street,Raccoon,Employee,Native,Healthy,1,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/25/2019 01:30:00 PM,07/25/2019 02:30:00 PM,Staten Island,High Rock Park,Greenbelt Nature Center,American Crow,Employee,Native,Injured,3,Adult,Birds,311-00223574,ACC,1,false,false,,,false,false,
07/25/2019 10:15:00 AM,07/25/2019 10:18:00 AM,Queens,Forest Park,Jackson Pond Playground,American Robin,Employee,Native,Healthy,0.75,Juvenile,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/25/2019 09:00:00 AM,07/25/2019 09:00:00 AM,Brooklyn,Prospect Park,Picnic House,Domestic Rabbit,"Conservancies/""Friends of"" Groups",Domestic,Healthy,2,Adult,Small Mammals-non RVS,,ACC,1,false,false,,,false,false,70267
07/24/2019 04:20:00 PM,07/24/2019 04:30:00 AM,Bronx,Orchard Beach,Section 6 Boardwalk,Herring Gull,Employee,Native,Injured,3,Juvenile,Birds,311-00216004,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
07/23/2019 01:00:00 PM,07/23/2019 01:30:00 PM,Bronx,Van Cortlandt Park,Birding Bridge adjacent to Golf Course,Common Snapping Turtle,Public,Native,Healthy,0.5,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,false,false,,,false,false,
07/22/2019 01:30:00 PM,07/22/2019 01:30:00 PM,Brooklyn,Kaiser Park,Fishing pier,Red-Eared Slider,"Conservancies/""Friends of"" Groups",Invasive,Unhealthy,1.5,Adult,Terrestrial Reptile or Amphibian,3-11-00195325,ACC,1,false,false,,,false,false,
07/22/2019 10:30:00 AM,07/22/2019 10:35:00 AM,Staten Island,Clove Lakes Park,Martlings Pond near cemetery,White-tailed Deer,Employee,Native,Injured,2,Infant,Deer,311-00194071,ACC,1,true,false,,,false,false,69886
07/21/2019 01:00:00 PM,07/21/2019 01:00:00 PM,Queens,Forest Park,Carousel,Raccoon,Other,Native,Healthy,0.5,Adult;#Juvenile,Small Mammals-RVS,,Advised/Educated others,2,false,true,,0.5,false,false,
07/20/2019 09:30:00 AM,07/20/2019 10:00:00 AM,Bronx,Van Cortlandt Park,Nursery,Eastern Coyote,Central,Native,Healthy,0.5,Juvenile,Coyotes,,Unfounded,0,false,false,,,false,false,
07/19/2019 03:00:00 PM,07/19/2019 03:15:00 PM,Staten Island,Midland Beach,"Cross streets Father Capodanno Boulevard and Naughton Avenue. GPS 40.576061, -74.079058",Double-crested Cormorant,Employee,Native,Unhealthy,2.25,Adult,Birds,311-00172169,ACC,1,false,false,,,false,false,69653
07/19/2019 12:00:00 PM,07/19/2019 12:10:00 PM,Staten Island,South Beach,"On the beach near lot 1. GPS 40.593640, -74.060323",Double-crested Cormorant,Employee,Native,Unhealthy,1.25,Adult,Birds,311-00172007,ACC,1,false,false,,,false,false,69635
